Date;Hour;P;Test
07/01/2015;22;169,8;5,225
07/01/2015;23;159,7;4,975
08/01/2015;0;155,2;5,45
08/01/2015;1;153,4;5,575
08/01/2015;2;152,2;5,675
08/01/2015;3;153,7;4,525
08/01/2015;4;161,6;3,875
08/01/2015;5;196;3,225
08/01/2015;6;297,1;3,175
08/01/2015;7;332,9;2,925
08/01/2015;8;483,8;2,925
08/01/2015;9;575,3;3
08/01/2015;10;561,9;4
08/01/2015;11;551,4;5,45
08/01/2015;12;606,5;6,875
08/01/2015;13;633;7,65
08/01/2015;14;584,1;8,4
08/01/2015;15;525,4;8,7
08/01/2015;16;487,9;7,825
08/01/2015;17;496,4;6,775
08/01/2015;18;453,8;6,325
08/01/2015;19;316,3;6
08/01/2015;20;213,3;5,75
08/01/2015;21;175,3;5,75
08/01/2015;22;164,1;5,35
08/01/2015;23;153,5;4,675
09/01/2015;0;152,5;3,8
09/01/2015;1;151,5;3,3
09/01/2015;2;149,5;2,675
09/01/2015;3;148,6;2,575
09/01/2015;4;152,7;2,325
09/01/2015;5;169,5;2,35
09/01/2015;6;271,4;2,325
09/01/2015;7;330,9;1,95
09/01/2015;8;477,5;1,8
09/01/2015;9;597,8;2,6
09/01/2015;10;600,1;3,275
09/01/2015;11;571,4;4,875
09/01/2015;12;591;6,975
09/01/2015;13;617;9
09/01/2015;14;589,1;10,275
09/01/2015;15;514,6;9,85
09/01/2015;16;474,9;10,1
09/01/2015;17;468,8;9,65
09/01/2015;18;403,1;8,4
09/01/2015;19;282;7,3
09/01/2015;20;201,9;7,1
09/01/2015;21;168,8;6,85
09/01/2015;22;158,9;6,85
09/01/2015;23;149;5,8
10/01/2015;0;148,8;6,4
10/01/2015;1;147,1;5,525
10/01/2015;2;146;5,6
10/01/2015;3;145,6;5,4
10/01/2015;4;147,3;5,875
10/01/2015;5;156,5;6,1
10/01/2015;6;197,2;6,625
10/01/2015;7;222,1;5,2
10/01/2015;8;268,6;5,15
10/01/2015;9;271,2;5,925
10/01/2015;10;274,1;7,275
10/01/2015;11;273,6;9,875
10/01/2015;12;277,7;19,8
10/01/2015;13;253;23,6
10/01/2015;14;194,7;24,3
10/01/2015;15;182,2;25,3
10/01/2015;16;162,8;25,15
10/01/2015;17;161,3;23,9
10/01/2015;18;161,4;23,1
10/01/2015;19;158,2;22,6
10/01/2015;20;155,7;19,375
10/01/2015;21;154,8;14,625
10/01/2015;22;149;11
10/01/2015;23;149,1;9,95
11/01/2015;0;147,9;9,95
11/01/2015;1;150,7;9,325
11/01/2015;2;147,5;6,9
11/01/2015;3;146,1;5,625
11/01/2015;4;146,7;4,275
11/01/2015;5;147,9;3,2
11/01/2015;6;147,3;3,55
11/01/2015;7;146,7;3,8
11/01/2015;8;129,1;4
11/01/2015;9;123,4;3,725
11/01/2015;10;127,7;3,725
11/01/2015;11;128,7;4,575
11/01/2015;12;133,1;11,55
11/01/2015;13;131;17,55
11/01/2015;14;125,2;18,2
11/01/2015;15;126,2;17,075
11/01/2015;16;122,7;15,825
11/01/2015;17;148,9;14,9
11/01/2015;18;150,2;14,325
11/01/2015;19;148,4;13,95
11/01/2015;20;152;13,825
11/01/2015;21;154,1;12,825
11/01/2015;22;151,7;12,075
11/01/2015;23;150,3;11,75
12/01/2015;0;147,4;10,975
12/01/2015;1;148,2;8,75
12/01/2015;2;146;8,15
12/01/2015;3;146,9;8,45
12/01/2015;4;150,5;7,675
12/01/2015;5;184;6,675
12/01/2015;6;274,9;6,4
12/01/2015;7;356;6,15
12/01/2015;8;497,4;6,25
12/01/2015;9;596,8;6,15
12/01/2015;10;579,9;7,825
12/01/2015;11;593,1;9,925
12/01/2015;12;651,4;10,275
12/01/2015;13;671,4;10,725
12/01/2015;14;633,9;11,5
12/01/2015;15;574;12,5
12/01/2015;16;502,9;12,275
12/01/2015;17;507,8;11,5
12/01/2015;18;478,8;10,575
12/01/2015;19;347,7;9,65
12/01/2015;20;237,6;9,125
12/01/2015;21;208,8;8,7
12/01/2015;22;205,2;7,35
12/01/2015;23;234,6;7
13/01/2015;0;228,3;6,6
13/01/2015;1;227,7;6,125
13/01/2015;2;228,2;5,4
13/01/2015;3;229,9;4,975
13/01/2015;4;208,8;4,425
13/01/2015;5;189,9;3,875
13/01/2015;6;298,7;3,275
13/01/2015;7;379,3;3,15
13/01/2015;8;519,4;4,75
13/01/2015;9;608,6;5,525
13/01/2015;10;629,5;6,175
13/01/2015;11;642,6;5,575
13/01/2015;12;689,2;5,975
13/01/2015;13;703,9;6,675
13/01/2015;14;674,5;6,975
13/01/2015;15;620,4;7,6
13/01/2015;16;549,2;7,65
13/01/2015;17;536,6;7,475
13/01/2015;18;496,5;7,4
13/01/2015;19;350,8;7,275
13/01/2015;20;231,8;6,975
13/01/2015;21;198,7;7,2
13/01/2015;22;189,3;7,1
13/01/2015;23;189,3;6,25
14/01/2015;0;220,9;5,5
14/01/2015;1;219,5;5,025
14/01/2015;2;223,7;4,45
14/01/2015;3;221,7;4,45
14/01/2015;4;190,5;4,1
14/01/2015;5;191,4;4
14/01/2015;6;295,2;4,425
14/01/2015;7;362,1;4,625
14/01/2015;8;482;4,075
14/01/2015;9;600,8;4,4
14/01/2015;10;588,2;5,775
14/01/2015;11;595,3;6,95
14/01/2015;12;644,3;8,625
14/01/2015;13;667,2;9,875
14/01/2015;14;626,5;11,075
14/01/2015;15;578;10,975
14/01/2015;16;505,6;10,525
14/01/2015;17;504,1;9,45
14/01/2015;18;472,4;8,95
14/01/2015;19;327,5;8,575
14/01/2015;20;223,9;7,775
14/01/2015;21;194,3;6,85
14/01/2015;22;182,8;6,5
14/01/2015;23;178,6;6,45
15/01/2015;0;206,7;6
15/01/2015;1;207,1;5,825
15/01/2015;2;204,2;5,425
15/01/2015;3;204,7;4,975
15/01/2015;4;190;4,975
15/01/2015;5;187,3;5,275
15/01/2015;6;293,4;3,6
15/01/2015;7;340,9;4
15/01/2015;8;479,2;4,65
15/01/2015;9;585,6;5,475
15/01/2015;10;622,3;5,825
15/01/2015;11;600,5;7,05
15/01/2015;12;644,6;7,6
15/01/2015;13;642;8,125
15/01/2015;14;638,7;7,95
15/01/2015;15;582,6;7,975
15/01/2015;16;513,6;7,7
15/01/2015;17;517,9;6,875
15/01/2015;18;468,5;6,45
15/01/2015;19;341,7;6,475
15/01/2015;20;243,8;6,425
15/01/2015;21;209,6;6,55
15/01/2015;22;192,8;6,15
15/01/2015;23;175,5;6,425
16/01/2015;0;222,3;6,45
16/01/2015;1;221,7;6,45
16/01/2015;2;219,5;6,15
16/01/2015;3;222,1;6,35
16/01/2015;4;214;6,3
16/01/2015;5;196,9;5,7
16/01/2015;6;305,6;5,15
16/01/2015;7;343,2;5,15
16/01/2015;8;476,1;5,25
16/01/2015;9;570,2;5,35
16/01/2015;10;595,2;5,375
16/01/2015;11;609,5;5,5
16/01/2015;12;645,6;5,525
16/01/2015;13;677;5,475
16/01/2015;14;646,1;5,4
16/01/2015;15;572,5;5,5
16/01/2015;16;511,2;5,5
16/01/2015;17;484,8;5,425
16/01/2015;18;426,9;5,55
16/01/2015;19;303;5,675
16/01/2015;20;220,1;5,65
16/01/2015;21;198,9;5,8
