"date","T_avg","T_max","T_min","day"
2018-01-22,20.1646087152778,21.62391,18.61826,"Monday"
2018-01-23,20.1352321805556,21.80721,18.72507,"Tuesday"
2018-01-24,19.1676479027778,20.39828,18.44823,"Wednesday"
2018-01-25,18.4472536805556,19.25577,17.49969,"Thursday"
2018-01-26,18.3209735555556,19.30414,16.9,"Friday"
2018-02-14,18.3192128576389,19.4761,16.48572,"Wednesday"
2018-02-15,20.1327374409722,22.66928,18.88204,"Thursday"
2018-02-20,21.5651984583333,23.76871,20.15829,"Tuesday"
2018-02-21,19.5020273611111,20.52709,17.80163,"Wednesday"
2018-02-26,18.7287366944444,20.11407,17.81518,"Monday"
2018-02-27,19.8914872916667,22.19448,17.31865,"Tuesday"
2018-02-28,21.2349317291667,23.39181,20.23724,"Wednesday"
2018-03-01,21.3093811111111,23.32444,19.37654,"Thursday"
2018-03-02,22.28634875,24.18839,20.88134,"Friday"
2018-03-05,24.9051086805556,27.22108,22.91164,"Monday"
2018-03-06,20.9966885833333,24.58998,19.45416,"Tuesday"
2018-03-07,20.4812777708333,22.01182,19.25727,"Wednesday"
2018-03-12,20.6524170555556,22.74838,18.73389,"Monday"
2018-03-13,21.9021100069444,24.05967,20.13006,"Tuesday"
2018-03-14,21.7310082152778,22.46014,20.76802,"Wednesday"
2018-03-15,22.6725572361111,25.88984,20.72295,"Thursday"
2018-03-16,22.3995559722222,24.6098,20.93109,"Friday"
2018-03-19,23.4500673263889,25.80564,21.95664,"Monday"
2018-03-20,22.1463646597222,27.51805,17.40308,"Tuesday"
2018-03-21,19.140889875,23.71631,15.3672,"Wednesday"
2018-03-22,20.3672026631944,23.06071,17.42723,"Thursday"
2018-03-23,21.1051887430556,23.64772,19.25354,"Friday"
2018-03-26,22.9747045763889,25.48477,21.6545,"Monday"
2018-03-27,23.3802027986111,25.25954,21.71003,"Tuesday"
2018-03-28,23.4748116736111,25.64094,22.35277,"Wednesday"
2018-03-29,23.7300681388889,26.14236,22.21098,"Thursday"
2018-04-03,24.9520551076389,27.92333,22.82181,"Tuesday"
2018-04-04,25.1610043055556,27.83426,23.17597,"Wednesday"
2018-04-06,23.0524440763889,26.8471,17.96046,"Friday"
2018-04-09,22.6798496527778,24.66045,20.49837,"Monday"
2018-04-10,24.3705992118056,26.74192,22.61432,"Tuesday"
2018-04-11,25.3582682222222,27.71011,23.96605,"Wednesday"
2018-04-12,26.1571404166667,27.77291,25.0258,"Thursday"
2018-04-13,27.3818403472222,29.2231,25.98935,"Friday"
2018-04-16,19.6120525902778,21.49218,18.54168,"Monday"
2018-04-17,20.9164621111111,23.30737,18.67477,"Tuesday"
2018-04-18,23.5119318611111,25.14123,22.63588,"Wednesday"
2018-04-19,24.1965845486111,26.09174,22.95607,"Thursday"
2018-04-20,24.32039034375,25.83187,23.48247,"Friday"
2018-04-23,26.8260259583333,29.00468,25.5835,"Monday"
2018-04-24,25.8706195833333,27.71031,24.26852,"Tuesday"
2018-04-25,25.1391971666667,26.66122,24.23631,"Wednesday"
2018-04-26,24.6440329583333,25.39892,23.80172,"Thursday"
2018-04-27,25.9937834027778,28.17834,24.42125,"Friday"
2018-04-30,27.2085452916667,28.85728,25.96047,"Monday"
2018-05-02,28.1525002847222,31.12877,26.18977,"Wednesday"
2018-05-03,27.9221753784722,31.76526,25.02421,"Thursday"
2018-05-04,25.0875022152778,26.02538,24.13536,"Friday"
2018-05-07,28.830867625,29.64333,25.01975,"Monday"
2018-05-08,26.3743241041667,27.53707,24.89528,"Tuesday"
2018-05-09,26.25541965625,27.87044,24.88327,"Wednesday"
2018-05-10,24.6492933541667,26.281,23.51537,"Thursday"
2018-05-11,25.0307168194444,25.92537,24.18716,"Friday"
2018-05-14,29.0641321666667,31.48113,27.16535,"Monday"
2018-05-15,29.4334861388889,31.48437,28.18154,"Tuesday"
2018-05-16,29.4343759305556,31.30836,27.74554,"Wednesday"
2018-05-17,29.9711388680556,32.12076,28.6007,"Thursday"
2018-05-18,30.4660188854167,32.87141,28.76321,"Friday"
2018-05-21,30.5104694722222,33.15487,28.66082,"Monday"
2018-05-23,31.1369149652778,34.44964,28.72089,"Wednesday"
2018-05-24,30.7541421041667,32.56847,28.93547,"Thursday"
2018-05-25,30.62920940625,32.49505,28.78656,"Friday"
2018-05-28,30.9571590694444,33.87161,28.7046,"Monday"
2018-05-29,31.4372547083333,34.2211,29.37326,"Tuesday"
2018-05-30,31.6845673298611,33.6887,29.71971,"Wednesday"
2018-05-31,31.62571859375,33.90403,29.25838,"Thursday"
2018-06-01,30.9473428680556,34.46873,28.87093,"Friday"
2018-06-04,29.3848883125,30.85758,27.80489,"Monday"
2018-06-05,28.9732142083333,30.42705,26.80265,"Tuesday"
2018-06-06,28.8263029791667,30.40256,26.89797,"Wednesday"
