"date","T_avg","T_max","T_min","day"
2018-06-07,29.0799028194444,30.05968,27.4932,"Thursday"
2018-06-08,29.2163934340278,30.74419,26.50806,"Friday"
2018-06-11,31.6139078819444,34.13321,29.64584,"Monday"
2018-06-12,28.9062581527778,31.32556,26.78815,"Tuesday"
2018-06-13,28.3719152291667,31.11366,26.81624,"Wednesday"
2018-06-14,28.1861448541667,29.9168,26.74605,"Thursday"
2018-06-15,28.2802559236111,29.96143,26.94904,"Friday"
2018-06-19,30.3603705555556,31.45463,29.50254,"Tuesday"
2018-06-20,30.9264054027778,32.59885,29.70239,"Wednesday"
2018-06-21,30.7754606944444,32.14927,29.89454,"Thursday"
2018-06-22,29.3372781319444,31.18192,26.47786,"Friday"
2018-06-25,29.7095820277778,31.01696,28.45445,"Monday"
2018-06-26,30.7499876597222,32.53592,28.33956,"Tuesday"
2018-06-27,31.7222749930556,33.18005,30.05824,"Wednesday"
2018-06-28,32.019331375,33.82861,30.3761,"Thursday"
2018-06-29,32.5406866736111,33.65833,31.08565,"Friday"
2018-07-03,32.1482269791667,33.14198,29.88795,"Tuesday"
2018-07-04,32.6412071701389,33.9376,31.73956,"Wednesday"
2018-07-05,32.2301888263889,33.07478,30.09193,"Thursday"
2018-07-06,32.6943019722222,34.38129,31.62075,"Friday"
2018-07-09,31.3641735347222,32.77313,29.02348,"Monday"
2018-07-10,31.8049099027778,32.96257,29.86411,"Tuesday"
2018-07-11,31.8772757430556,33.95451,29.65335,"Wednesday"
2018-07-12,32.3557803194444,34.10807,31.23226,"Thursday"
2018-07-13,30.1511804375,32.10666,28.8185,"Friday"
2018-07-16,31.3608507916667,32.55227,29.39499,"Monday"
2018-07-17,32.4045726736111,35.39234,29.40322,"Tuesday"
2018-07-18,30.0837046041667,31.35181,28.42235,"Wednesday"
2018-07-19,30.1300642569444,31.30425,28.73768,"Thursday"
2018-07-20,30.2403007361111,31.70122,27.97287,"Friday"
2018-07-23,30.3744726805556,31.85788,27.85396,"Monday"
2018-07-24,31.2919020694444,32.08868,30.48056,"Tuesday"
2018-07-25,31.2840957847222,32.81382,29.73914,"Wednesday"
2018-07-26,31.4108137291667,33.18089,30.17093,"Thursday"
2018-07-27,31.3564608680556,33.1982,29.49228,"Friday"
2018-07-30,31.5048500347222,33.84472,29.58698,"Monday"
2018-07-31,31.5157260763889,33.0262,30.02675,"Tuesday"
2018-01-29,11.0243804930556,13.0767,9.19228,"Monday"
2018-01-30,11.1935505513889,13.59871,9.380417,"Tuesday"
2018-01-31,10.3939331951389,13.70158,8.590705,"Wednesday"
2018-02-01,11.4155248340278,14.38743,7.978076,"Thursday"
2018-02-02,12.2093161381944,14.8924,9.989129,"Friday"
2018-02-05,10.7801661868056,13.48316,8.844131,"Monday"
2018-02-06,12.9511072847222,14.61896,10.53751,"Tuesday"
2018-02-07,14.2753712916667,16.19873,13.06496,"Wednesday"
2018-02-08,15.2430352430556,17.03217,12.93939,"Thursday"
2018-02-09,16.8152884513889,18.22276,15.37177,"Friday"
2018-02-12,15.6832320277778,18.63107,12.90376,"Monday"
2018-02-13,16.4869820416667,17.96104,14.80881,"Tuesday"
2018-02-22,16.5483614583333,19.44513,14.22299,"Thursday"
2018-02-23,16.4548004097222,18.52472,13.92871,"Friday"
2018-03-08,16.0248958055556,21.94302,13.83133,"Thursday"
2018-03-09,15.8456377361111,20.03053,12.54906,"Friday"
2018-03-03,23.3962816666667,24.7751,22.75022,"Saturday"
2018-03-24,22.0072438333333,23.61061,20.89323,"Saturday"
2018-03-31,24.3891360555556,26.26537,23.35773,"Saturday"
2018-04-02,24.2743152569444,27.77468,22.25813,"Monday"
2018-04-14,27.4446873055556,29.29891,25.68089,"Saturday"
2018-04-21,25.3374565625,26.85555,24.16747,"Saturday"
2018-04-28,25.8455382916667,27.21141,24.46026,"Saturday"
2018-05-05,26.3034438055556,27.76801,25.1289,"Saturday"
2018-05-12,27.4499652708333,30.83496,25.24871,"Saturday"
2018-05-19,30.6106572395833,34.19807,28.68766,"Saturday"
2018-05-22,30.9334157847222,33.59809,28.92906,"Tuesday"
2018-05-26,31.5044640069444,33.91301,29.53599,"Saturday"
2018-06-02,29.9940599722222,31.76471,28.7788,"Saturday"
2018-06-09,29.9272370277778,31.48909,28.39705,"Saturday"
2018-06-16,29.7117693472222,31.43192,28.59194,"Saturday"
2018-06-18,30.31787871875,32.21215,28.78146,"Monday"
2018-06-23,28.9151944305556,31.62904,25.38823,"Saturday"
2018-06-30,32.7897514722222,34.36,31.51353,"Saturday"
2018-07-02,32.0890931388889,33.447,28.09155,"Monday"
2018-07-07,31.8989767152778,33.07496,28.77327,"Saturday"
2018-07-14,30.9345484583333,32.68807,29.1051,"Saturday"
2018-07-21,31.2756484097222,34.21335,29.25804,"Saturday"
2018-07-28,31.9271753680556,34.3811,30.1755,"Saturday"
2018-01-20,19.8401045833333,21.44249,18.7591,"Saturday"
2018-01-27,16.9432718263889,18.0097,15.32234,"Saturday"
2018-02-03,11.3058114631944,13.72793,9.562191,"Saturday"
2018-02-10,18.6816757083333,21.37911,16.85918,"Saturday"
2018-02-17,19.4349261666667,21.18666,18.13482,"Saturday"
2018-02-24,19.6228700694444,21.30859,0,"Saturday"
2018-03-10,17.8251080902778,19.96432,15.40144,"Saturday"
2018-03-17,20.999880625,23.4993,19.85176,"Saturday"
2018-04-07,19.6037175902778,20.8857,18.03079,"Saturday"
2018-03-04,24.9635629583333,26.97624,22.60609,"Sunday"
2018-03-30,24.2705785763889,26.62907,22.64674,"Friday"
2018-04-01,24.3470462777778,26.87416,22.66901,"Sunday"
2018-04-05,25.5921404166667,27.57751,23.54989,"Thursday"
2018-04-22,26.1355156527778,28.47545,24.70843,"Sunday"
2018-04-29,26.6428467395833,28.69602,25.43305,"Sunday"
2018-05-01,27.8636176666667,30.28335,26.75488,"Tuesday"
2018-05-06,28.5176688125,31.05139,26.74433,"Sunday"
2018-05-13,28.2345115555556,31.46272,25.94061,"Sunday"
2018-05-20,30.8709699166667,33.904,28.94246,"Sunday"
2018-05-27,31.3764683958333,34.2245,29.35694,"Sunday"
2018-06-03,30.1740304722222,31.64681,28.74293,"Sunday"
2018-06-10,31.4629918125,34.16892,28.28148,"Sunday"
2018-06-17,30.0203121041667,31.91805,28.56866,"Sunday"
2018-06-24,30.3682046041667,33.07874,28.2031,"Sunday"
2018-07-01,32.7661680486111,35.41434,31.10041,"Sunday"
2018-07-08,31.7275903888889,33.24525,29.99244,"Sunday"
2018-07-15,30.5898124236111,31.88977,28.65837,"Sunday"
2018-07-22,30.5923341388889,33.11877,29.04831,"Sunday"
2018-07-29,31.8139616527778,35.45543,29.90259,"Sunday"
2018-01-21,19.3931209583333,21.29242,17.88447,"Sunday"
2018-01-28,17.5127030798611,21.03348,12.79631,"Sunday"
2018-02-04,11.496496225,13.55761,9.811178,"Sunday"
2018-02-11,17.2234492638889,20.4362,15.17565,"Sunday"
2018-02-16,21.2717971180556,26.05992,18.17695,"Friday"
2018-02-18,19.8734485034722,21.31868,18.0896,"Sunday"
2018-02-19,22.1535946805556,24.33169,19.73435,"Monday"
2018-02-25,21.6697550520833,26.78486,19.82999,"Sunday"
2018-03-11,19.0842703333333,21.16087,17.19127,"Sunday"
2018-03-18,22.0733388229167,24.25327,20.69544,"Sunday"
2018-03-25,22.6893324791667,24.15037,21.93951,"Sunday"
2018-04-08,21.2616159791667,23.82966,18.82931,"Sunday"
2018-04-15,22.9196057847222,28.53885,19.34614,"Sunday"
