datetime;ee_consumption_kWh;t_out_C
01/01/2015 00:00;138,9;0,175
01/01/2015 01:00;141,9;0,375
01/01/2015 02:00;142,1;0,5
01/01/2015 03:00;141,8;-0,875
01/01/2015 04:00;139,7;-1,4
01/01/2015 05:00;155,2;-1,375
01/01/2015 06:00;167,8;-1,15
01/01/2015 07:00;171,4;-0,725
01/01/2015 08:00;144,4;-1,075
01/01/2015 09:00;127;-0,375
01/01/2015 10:00;128,2;1,35
01/01/2015 11:00;130,7;2,675
01/01/2015 12:00;129,2;4,75
01/01/2015 13:00;126,8;6,15
01/01/2015 14:00;128;6,5
01/01/2015 15:00;127,2;6,375
01/01/2015 16:00;120,1;5,35
01/01/2015 17:00;145,4;4,425
01/01/2015 18:00;148,2;3,875
01/01/2015 19:00;142,4;3,3
01/01/2015 20:00;138,3;3,5
01/01/2015 21:00;128,4;3,175
01/01/2015 22:00;132,9;2,525
01/01/2015 23:00;123;2,025
02/01/2015 00:00;132,2;1,275
02/01/2015 01:00;131,6;1,1
02/01/2015 02:00;131,3;0,65
02/01/2015 03:00;141,9;0,475
02/01/2015 04:00;138,4;0,375
02/01/2015 05:00;148;0,375
02/01/2015 06:00;181,6;0,175
02/01/2015 07:00;188,1;-0,275
02/01/2015 08:00;194,9;0,2
02/01/2015 09:00;201,3;0,575
02/01/2015 10:00;196,3;1,975
02/01/2015 11:00;190,9;4,2
02/01/2015 12:00;189,1;7,15
02/01/2015 13:00;193,3;8,575
02/01/2015 14:00;193;9,35
02/01/2015 15:00;193,7;9,25
02/01/2015 16:00;205,6;8,35
02/01/2015 17:00;223,6;8,025
02/01/2015 18:00;218,8;7,7
02/01/2015 19:00;196,8;6,9
02/01/2015 20:00;170,5;6,575
02/01/2015 21:00;165,8;6,425
02/01/2015 22:00;161,4;6,375
02/01/2015 23:00;118,8;6,125
03/01/2015 00:00;124,2;6,175
03/01/2015 01:00;133,4;5,55
03/01/2015 02:00;132,9;4,425
03/01/2015 03:00;131,9;4,275
03/01/2015 04:00;126,2;4,4
03/01/2015 05:00;150;4
03/01/2015 06:00;188,7;3,7
03/01/2015 07:00;198,9;3,575
03/01/2015 08:00;190,6;3,6
03/01/2015 09:00;180,8;4,475
03/01/2015 10:00;175,2;6,6
03/01/2015 11:00;173;8,925
03/01/2015 12:00;174,3;9,95
03/01/2015 13:00;162;10,05
03/01/2015 14:00;132,7;10,025
03/01/2015 15:00;120,5;10,2
03/01/2015 16:00;126,2;9,2
03/01/2015 17:00;123;7,175
03/01/2015 18:00;129,1;5,75
03/01/2015 19:00;118,5;4,95
03/01/2015 20:00;115,5;4,95
03/01/2015 21:00;118;4,475
03/01/2015 22:00;116,2;3,875
03/01/2015 23:00;120,9;4,35
04/01/2015 00:00;135,4;4,25
04/01/2015 01:00;141,2;5,35
04/01/2015 02:00;138,8;13,475
04/01/2015 03:00;144,9;18,6
04/01/2015 04:00;143,8;18,4
04/01/2015 05:00;136;18,4
04/01/2015 06:00;129,9;18,475
04/01/2015 07:00;138,8;18,4
04/01/2015 08:00;123,5;18,3
04/01/2015 09:00;122,5;18,65
04/01/2015 10:00;125,5;18,6
04/01/2015 11:00;127,8;16,65
04/01/2015 12:00;121,3;17,1
04/01/2015 13:00;122,1;18,225
04/01/2015 14:00;123;19,45
04/01/2015 15:00;126,2;18,85
04/01/2015 16:00;128,1;17,6
04/01/2015 17:00;129,9;15,575
04/01/2015 18:00;129,5;14,4
04/01/2015 19:00;134,4;13,525
04/01/2015 20:00;121,6;12,425
04/01/2015 21:00;116,9;11,675
04/01/2015 22:00;116,7;10,575
04/01/2015 23:00;123,2;10,175
05/01/2015 00:00;138,2;9,425
05/01/2015 01:00;139,9;8,525
05/01/2015 02:00;134,5;7,95
05/01/2015 03:00;130,5;7,575
05/01/2015 04:00;128,6;6,6
05/01/2015 05:00;172,9;5,35
05/01/2015 06:00;194,2;3,675
05/01/2015 07:00;221,4;3,575
05/01/2015 08:00;255,7;3,65
05/01/2015 09:00;290,1;6,1
05/01/2015 10:00;260,4;8,025
05/01/2015 11:00;288,5;10,65
05/01/2015 12:00;251,8;12,95
05/01/2015 13:00;241,7;13,875
05/01/2015 14:00;237,1;12,875
05/01/2015 15:00;227,5;13,3
05/01/2015 16:00;230,6;11,925
05/01/2015 17:00;236,5;10,1
05/01/2015 18:00;238,1;9,425
05/01/2015 19:00;211,7;9,025
05/01/2015 20:00;174,1;8,225
05/01/2015 21:00;160,1;6,375
05/01/2015 22:00;157;5,925
05/01/2015 23:00;147,6;5,5
06/01/2015 00:00;148,9;4,825
06/01/2015 01:00;148,4;3,725
06/01/2015 02:00;147,3;3,95
06/01/2015 03:00;145,7;4,1
06/01/2015 04:00;145,8;4,1
06/01/2015 05:00;157,3;3,35
06/01/2015 06:00;191,7;1,8
06/01/2015 07:00;220;1,525
06/01/2015 08:00;215,3;1,95
06/01/2015 09:00;207,5;3,175
06/01/2015 10:00;202,1;5,575
06/01/2015 11:00;197;8,1
06/01/2015 12:00;196,7;11,025
06/01/2015 13:00;195,5;10,675
06/01/2015 14:00;195,7;9,45
06/01/2015 15:00;196,1;8,35
06/01/2015 16:00;199,9;7,55
06/01/2015 17:00;219,3;6
06/01/2015 18:00;220,6;5,275
06/01/2015 19:00;205;4,9
06/01/2015 20:00;160,8;4,875
06/01/2015 21:00;144;4,775
06/01/2015 22:00;141,3;4,125
06/01/2015 23:00;128;3,825
07/01/2015 00:00;127,7;3,8
07/01/2015 01:00;132,5;3,7
07/01/2015 02:00;129,7;3,475
07/01/2015 03:00;133,2;3,35
07/01/2015 04:00;129,4;2,975
07/01/2015 05:00;155,7;2,825
07/01/2015 06:00;276,1;3,15
07/01/2015 07:00;326,7;3,375
07/01/2015 08:00;469,8;3,375
07/01/2015 09:00;534,1;3,875
07/01/2015 10:00;548,4;4,375
07/01/2015 11:00;540,7;5,65
07/01/2015 12:00;576,8;6,825
07/01/2015 13:00;618,1;7,3
07/01/2015 14:00;569,4;7,075
07/01/2015 15:00;524,4;6,95
07/01/2015 16:00;492,1;6,7
07/01/2015 17:00;497,2;6,175
07/01/2015 18:00;444,8;6
07/01/2015 19:00;314,5;5,75
07/01/2015 20:00;224,1;5,5
07/01/2015 21:00;185,8;5,525
07/01/2015 22:00;169,8;5,225
07/01/2015 23:00;159,7;4,975
08/01/2015 00:00;155,2;5,45
08/01/2015 01:00;153,4;5,575
08/01/2015 02:00;152,2;5,675
08/01/2015 03:00;153,7;4,525
08/01/2015 04:00;161,6;3,875
08/01/2015 05:00;196;3,225
08/01/2015 06:00;297,1;3,175
08/01/2015 07:00;332,9;2,925
08/01/2015 08:00;483,8;2,925
08/01/2015 09:00;575,3;3
08/01/2015 10:00;561,9;4
08/01/2015 11:00;551,4;5,45
08/01/2015 12:00;606,5;6,875
08/01/2015 13:00;633;7,65
08/01/2015 14:00;584,1;8,4
08/01/2015 15:00;525,4;8,7
08/01/2015 16:00;487,9;7,825
