"date_time","energy_h","date","time"
"2018-01-20 00:00:00",127.776018563119,2018-01-20,"00:00:00"
"2018-01-20 01:00:00",124.908106511525,2018-01-20,"01:00:00"
"2018-01-20 02:00:00",122.786884457331,2018-01-20,"02:00:00"
"2018-01-20 03:00:00",121.949471410807,2018-01-20,"03:00:00"
"2018-01-20 04:00:00",120.575968966997,2018-01-20,"04:00:00"
"2018-01-20 05:00:00",121.042109517246,2018-01-20,"05:00:00"
"2018-01-20 06:00:00",121.215682567867,2018-01-20,"06:00:00"
"2018-01-20 07:00:00",121.591482561814,2018-01-20,"07:00:00"
"2018-01-20 08:00:00",131.163113904874,2018-01-20,"08:00:00"
"2018-01-20 09:00:00",126.797944319802,2018-01-20,"09:00:00"
"2018-01-20 10:00:00",127.697456492419,2018-01-20,"10:00:00"
"2018-01-20 11:00:00",128.938526746021,2018-01-20,"11:00:00"
"2018-01-20 12:00:00",130.693114389016,2018-01-20,"12:00:00"
"2018-01-20 13:00:00",129.447226152903,2018-01-20,"13:00:00"
"2018-01-20 14:00:00",126.049904848709,2018-01-20,"14:00:00"
"2018-01-20 15:00:00",125.231207286372,2018-01-20,"15:00:00"
"2018-01-20 16:00:00",128.070649981995,2018-01-20,"16:00:00"
"2018-01-20 17:00:00",108.111837530632,2018-01-20,"17:00:00"
"2018-01-20 18:00:00",120.577310857771,2018-01-20,"18:00:00"
"2018-01-20 19:00:00",118.273432451859,2018-01-20,"19:00:00"
"2018-01-20 20:00:00",116.132130410492,2018-01-20,"20:00:00"
"2018-01-20 21:00:00",116.454325121848,2018-01-20,"21:00:00"
"2018-01-20 22:00:00",115.663424931731,2018-01-20,"22:00:00"
"2018-01-20 23:00:00",114.891940181883,2018-01-20,"23:00:00"
"2018-01-21 00:00:00",114.592398715355,2018-01-21,"00:00:00"
"2018-01-21 01:00:00",114.186308277404,2018-01-21,"01:00:00"
"2018-01-21 02:00:00",114.285892046105,2018-01-21,"02:00:00"
"2018-01-21 03:00:00",113.860466938031,2018-01-21,"03:00:00"
